Mname,Dissociation,V SHE,Nitride Formation Energy,Hydride Formation Energy,Oxide Formation Energy,MxOyHz Formation Energy,MxCyOz Formation Energy,MxFy Formation Energy
Co,True,-0.28,0.31,0.04,0.61,0.31,0.17,0.11
Hg,False,0.85,0.68,0.38,1.04,0.5,0.15,0.51
Tl,False,-0.34,0.42,0.46,0.88,0.01,-0.19,-0.4
Pt,False,1.19,0.69,0.41,1.28,0.21,-0.26,0.98
Rb,False,-2.98,-0.02,-0.11,0.33,-0.4,-0.7,-1.23
Mg,True,-2.37,-0.6,-0.12,-1.34,-0.66,-0.77,-1.62
Cs,False,-3.03,-0.04,-0.11,0.33,-0.4,-0.7,-1.21
Y,True,-2.37,-1.55,-0.63,-2.03,-1.33,-1.68,-1.99
In,True,-0.34,0.23,0.5,-0.0,-0.1,-0.42,-0.42
V,True,-1.13,-0.92,-0.11,-0.64,-0.44,-0.2,-0.62
Zr,True,-1.45,-1.57,-0.49,-1.69,-0.96,-0.75,-1.44
Al,True,-1.66,-1.18,0.04,-1.34,-0.91,-1.23,-1.36
Ru,True,0.46,0.4,0.34,0.73,0.37,-0.3,0.53
Ti,True,-1.63,-1.51,-0.39,-1.3,-0.98,0.08,-1.19
Ir,False,1.0,0.57,0.5,0.95,0.55,-0.29,0.82
Sc,False,-2.08,-1.73,-0.58,-1.96,-1.29,-1.58,-1.88
K,False,-2.93,-0.03,-0.16,-0.1,-0.44,-0.74,-0.01
Ag,False,0.8,0.73,0.27,1.18,0.87,0.24,0.68
Au,False,1.52,0.47,0.44,1.54,0.93,-0.04,1.04
Ta,True,-0.6,-0.97,-0.0,-0.97,-0.67,-0.54,-0.9
Mo,True,-0.15,-0.23,0.54,-0.11,-0.08,-0.36,-0.16
Ni,True,-0.25,0.21,0.07,0.84,0.24,0.17,0.2
Ca,True,-2.87,-0.61,-0.47,-1.57,-0.82,-1.03,-2.0
Fe,True,-0.44,0.14,0.1,0.42,0.24,0.57,-0.07
W,True,-0.12,-0.27,0.22,-0.24,-0.18,0.23,0.02
Nb,True,-1.1,-0.99,-0.16,-0.87,-0.15,-0.03,-0.77
Ba,False,-2.91,-0.36,-0.46,-1.18,-0.73,-1.06,-2.01
Sr,False,-2.9,-0.28,-0.46,-1.35,-0.77,-1.04,-2.02
Rh,False,0.76,0.6,0.14,1.02,0.56,-0.25,0.61
Hf,True,-1.72,-1.48,-0.37,-1.7,-0.95,-0.76,-1.43
Re,True,0.3,0.19,0.61,0.27,0.08,-0.36,-0.21
Cd,False,-0.4,0.58,0.51,0.3,0.01,-0.12,-0.3
Ga,True,-0.53,-0.26,0.5,-0.23,-0.2,-0.38,-0.47
Pd,False,0.92,0.39,-0.01,0.88,0.57,0.05,0.84
Be,True,-1.85,-0.89,-0.01,-1.36,-0.63,-0.95,-1.35
Zn,True,-0.76,0.25,0.15,-0.12,-0.15,-0.15,-0.42
Na,False,-2.71,0.01,-0.15,-0.31,-0.44,-0.2,-1.3
Li,True,-3.04,-0.25,-0.35,-0.9,-0.67,-0.87,-1.49
Cu,False,0.34,0.37,0.19,0.75,0.71,0.26,0.37
